Country,Fund,Fund Type,Income Classification,Theme/Objective,World Bank Region,Amount of Funding Approved (USD millions)
"Regional - Sub-Saharan Africa (Comoros, Madagascar, Mauritius, Seychelles)",Green Climate Fund (GCF-1),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,52.77
Regional - Sub-Saharan Africa,Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.08
"Multi-country (Chad, Sudan)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,14
"Multi-country (Kenya, Uganda)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.03
Regional - Sub-Saharan Africa,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,8.93
Regional - Sub-Saharan Africa,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,8.94
"Multi-country (Ghana, Nigeria, Uganda)",Green Climate Fund IRM (GCF IRM),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,26
Multi-country (Azerbaijan and Iran),Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Western Asia,0.02
Multi-country (Azerbaijan and Iran),Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Western Asia,0.08
Thailand,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,0.87
Thailand,Green Climate Fund (GCF-1),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,17.53
Malaysia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,10
Turkmenistan,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,2.93
"Multi-country (Serbia, Macedonia, Albania)",Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,5.5
Turkmenistan,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,3.05
Kazakhstan,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,5
Montenegro,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,2.3
"Multi-country (Albania, Macedonia, Montenegro)",Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,9.93
Mexico,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,4.5
Guatemala,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,5.43
Peru,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,6.95
Paraguay,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,5.08
Peru,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.03
Peru,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,2.94
Paraguay,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,7.13
Guatemala,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,22.04
Mexico,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.03
Guatemala,Global Environment Facility (GEF7),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,1.5
Guatemala,Green Climate Fund (GCF-1),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,29.837
Mexico,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,4.3
"Multi-country (Peru, Colombia)",Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,1
Paraguay,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.45
"Multi-country (Jamaica, Suriname)",Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.4
Peru,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.25
Ecuador,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.75
Jordan,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,2
Jordan,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,0.03
Jordan,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,9.23
"Multi-country (Jordan, Lebanon)",Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,0.02
"Multi-country (Jordan, Lebanon)",Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,0.08
"Multi-country (Jordan, Lebanon)",Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,13.97
Jordan,Green Climate Fund (GCF-1),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,25
South Africa,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,3.54
South Africa,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.03
South Africa,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.03
Namibia,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,3.05
South Africa,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,7.5
South Africa,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,2.44
Namibia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.03
Namibia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.02
South Africa,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.02
Namibia,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,9.5
Namibia,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,10
Namibia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.03
Namibia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,5
Namibia,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,9.3
Namibia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.02
Namibia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.03
Namibia,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,8.9
Seychelles,Adaptation Fund (AF),Multilateral,High income,Adaptation,Sub-Saharan Africa,6.46
"Multi-country (Mauritius, Seychelles)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.02
"Multi-country (Mauritius, Seychelles)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.08
"Multi-country (Mauritius, Seychelles)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,10
"Regional (Cabo Verde, Guinea Bissau, Sao Tome and Principe)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.1
Maldives,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,South Asia,0.2
Maldives,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,South Asia,4.49
Maldives,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,South Asia,8.99
Maldives,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,South Asia,1.65
Maldives,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,South Asia,23.64
Maldives,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,South Asia,0.05
Maldives,Green Climate Fund (GCF-1),Multilateral,Upper middle income,Adaptation,South Asia,25.1
Maldives,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,South Asia,0.55
Mauritius,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,9.12
Mauritius,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.05
Mauritius,Global Environment Facility (GEF7),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,1.27
Trinidad and Tobago,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,10
"Regional - Latin America and the Caribbean SIDS (Antigua and Barbuda, Dominica, Grenada, Saint Kitts & Nevis, Saint Lucia, St Vincent & Grenadines and Trinidad and Tobago)",Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,5.46
"Multi-country (Antigua and Barbuda, Dominica, Grenada)",Green Climate Fund IRM (GCF IRM),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,20
"Multi-country (Antigua and Barbuda, Dominica, Saint Lucia)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.02
"Multi-country (Antigua and Barbuda, Dominica, Saint Lucia)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.08
Guyana,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,3.8
Guyana,Global Climate Change Alliance (GCCA),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,3.75
Jamaica,Global Climate Change Alliance (GCCA),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,4.63
Jamaica,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.03
St. Vincent and the Grenadines,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,15
Grenada,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,25
Jamaica,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,9.97
Jamaica,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,17.9
St. Lucia,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,27
"Multi-country (Cuba, Dominican Republic, Jamaica)",Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.02
Jamaica,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,5.75
Jamaica,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,7.08
"Multi-country (Cuba, Dominican Republic, Jamaica)",Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.08
Jamaica,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,5
St. Lucia,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.24
Grenada,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,39.74
St. Lucia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,9.86
Grenada,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.35
Dominican Republic,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.65
"Regional - East Asia and Pacific SIDS (Samoa, Vanuatu, Tuvalu, Solomon Islands, Papua New Guinea, Cook Islands, Nauru, Micronesia, Fiji, Marshall Islands, Niue, Palau, Tonga)",Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,East Asia & Pacific,13.13
Regional - Pacific SIDS,Green Climate Fund (GCF-1),Multilateral,Not applicable,Adaptation,East Asia & Pacific,47.403
"Multi-country (Fiji, Papua New Guinea)",Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,East Asia & Pacific,1
Samoa,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,0.2
Samoa,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,2
Samoa,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,2.4
Samoa,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,8.73
Samoa,Global Climate Change Alliance (GCCA),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,7.61
Samoa,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,1.95
Samoa,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,14.8
Samoa,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,12.32
Tonga,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,19.25
Samoa,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,14.6
Tonga,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,5.48
Samoa,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,57.72
Nepal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,0.2
Nepal,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,South Asia,9.64
Nepal,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,South Asia,5.15
Nepal,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,South Asia,23.09
Nepal,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,South Asia,27.96
Nepal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,2.69
Nepal,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,South Asia,23.54
Nepal,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,South Asia,13.5
Nepal,Adaptation Fund (AF),Multilateral,Low income,Adaptation,South Asia,9.53
Nepal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,6.24
Nepal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,4.44
Malawi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Tanzania,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Madagascar,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Senegal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Sierra Leone,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Uganda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Guinea,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Niger,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Rwanda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Tanzania,Special Climate Change Fund (SCCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1
Tanzania,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.47
Rwanda,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.11
Senegal,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.49
Malawi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3
Sierra Leone,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.64
Guinea,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.97
Rwanda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3.49
Senegal,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.62
Tanzania,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3.36
Madagascar,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.1
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.01
Uganda,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,12.33
Senegal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5
Guinea,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3.72
Niger,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,63
Sierra Leone,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.94
Niger,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3.8
Madagascar,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.34
Malawi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.32
Niger,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3.75
Sierra Leone,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4
Uganda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4
Malawi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4
Tanzania,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4
Malawi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.5
Niger,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,22
Niger,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,13
Rwanda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.97
Rwanda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Rwanda,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.5
Tanzania,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.97
Sierra Leone,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4
Uganda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.37
Madagascar,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.27
Senegal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.1
Uganda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.82
Rwanda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.5
Guinea,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8
Madagascar,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.88
Niger,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.65
Niger,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Uganda,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.41
Rwanda,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.49
Niger,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,12.33
Rwanda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.82
Senegal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.23
Malawi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.46
Tanzania,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.57
Niger,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.52
Senegal,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Madagascar,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.84
Malawi,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.16
Niger,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,12.86
Senegal,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.61
Malawi,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,12.3
Senegal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.46
Sierra Leone,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.98
Uganda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.75
Niger,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.91
Guinea,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Malawi,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Senegal,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.02
Sierra Leone,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Rwanda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Senegal,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.01
Senegal,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,14.53
Uganda,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,24.14
"Multi-country (Benin, Burkina Faso, Niger)",Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.08
"Regional (The Comoros, Madagascar, Malawi and Mozambique)",Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.08
Senegal,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.35
Uganda,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,10.14
Senegal,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.98
Tanzania,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,99.52
Malawi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.64
Uganda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.89
Uganda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.35
Niger,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Senegal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.91
Rwanda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6
Guinea,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5
Senegal,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.34
Niger,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.6
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Sierra Leone,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.92
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Uganda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Malawi,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,10
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Rwanda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.1
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
"Multi-country (Benin, Burkina Faso, Niger)",Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,11.54
"Regional (The Comoros, Madagascar, Malawi and Mozambique)",Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,14
Rwanda,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.34
Rwanda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.36
Uganda,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.95
Senegal,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.14
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.28
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.2
Uganda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.02
Uganda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Tanzania,Global Environment Facility (GEF7),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.12
Tanzania,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.42
"Multi-country (Liberia, Madagascar)",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.03
Malawi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.42
Guinea,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.85
Malawi,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.76
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Tanzania,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.4
"Multi-country (Uganda, Democratic Republic of Congo)",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.15
Malawi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.42
